geo,country,year,value
FRA,France,2024,93.5957010786495
GBR,United Kingdom,2000,71.1377681411187
GBR,United Kingdom,2001,74.0221125919033
GBR,United Kingdom,2002,83.8016680125486
GBR,United Kingdom,2003,94.1891522472249
GBR,United Kingdom,2004,101.208159065424
GBR,United Kingdom,2005,104.668341063216
GBR,United Kingdom,2006,108.487289936262
GBR,United Kingdom,2007,113.996433637537
GBR,United Kingdom,2008,106.42197375648
GBR,United Kingdom,2009,95.2612430572597
GBR,United Kingdom,2010,99.6862315399478
GBR,United Kingdom,2011,97.8301845576654
GBR,United Kingdom,2012,95.0023495267994
GBR,United Kingdom,2013,94.270315265913
GBR,United Kingdom,2014,99.1058134314452
GBR,United Kingdom,2015,100
GBR,United Kingdom,2016,105.816750766293
GBR,United Kingdom,2017,108.433079833136
GBR,United Kingdom,2018,108.192483417934
GBR,United Kingdom,2019,105.845632106517
GBR,United Kingdom,2020,109.422040488916
GBR,United Kingdom,2021,113.687826159835
GBR,United Kingdom,2022,118.491750186441
GBR,United Kingdom,2023,111.569784366089
GBR,United Kingdom,2024,105.90019091545
JPN,Japan,2000,132.481247128489
JPN,Japan,2001,131.634598837703
JPN,Japan,2002,126.201664223534
JPN,Japan,2003,120.235267501397
JPN,Japan,2004,111.741989695692
JPN,Japan,2005,105.709446413089
JPN,Japan,2006,101.093754942546
JPN,Japan,2007,99.306398386198
JPN,Japan,2008,100.32175256413
JPN,Japan,2009,95.9585541749387
JPN,Japan,2010,97.4427361382961
JPN,Japan,2011,98.0503123478754
JPN,Japan,2012,96.6779257484523
JPN,Japan,2013,98.0836395625503
JPN,Japan,2014,99.2331280299573
JPN,Japan,2015,100
JPN,Japan,2016,101.709528978476
JPN,Japan,2017,103.496960215651
JPN,Japan,2018,104.278946813862
JPN,Japan,2019,104.503270882005
JPN,Japan,2020,99.3829365323386
JPN,Japan,2021,107.246698446683
JPN,Japan,2022,112.800083199453
JPN,Japan,2023,115.169531827255
JPN,Japan,2024,113.874425795484
NLD,Netherlands,2000,107.778873020643
NLD,Netherlands,2001,110.094853893193
NLD,Netherlands,2002,114.399262228739
NLD,Netherlands,2003,118.106513234737
NLD,Netherlands,2004,122.018309102599
NLD,Netherlands,2005,125.95024640156
NLD,Netherlands,2006,126.160537158513
NLD,Netherlands,2007,127.807312675078
NLD,Netherlands,2008,127.092283838644
NLD,Netherlands,2009,122.740542854437
NLD,Netherlands,2010,120.108377232977
NLD,Netherlands,2011,115.361919945052
NLD,Netherlands,2012,107.723595776104
NLD,Netherlands,2013,100.926716518539
NLD,Netherlands,2014,99.0604508156311
NLD,Netherlands,2015,100
NLD,Netherlands,2016,102.100245359483
NLD,Netherlands,2017,108.087141845708
NLD,Netherlands,2018,112.841332049421
NLD,Netherlands,2019,115.945418628428
NLD,Netherlands,2020,120.81479587126
NLD,Netherlands,2021,131.111753134455
NLD,Netherlands,2022,138.605615038396
NLD,Netherlands,2023,125.972917354723
NLD,Netherlands,2024,130.53870239047
SWE,Sweden,2000,63.4855472220838
SWE,Sweden,2001,63.8615769520611
SWE,Sweden,2002,64.1820377599959
SWE,Sweden,2003,67.043733637494
SWE,Sweden,2004,72.0919019767199
SWE,Sweden,2005,75.6870402828539
SWE,Sweden,2006,80.6712908546998
SWE,Sweden,2007,85.0420921508399
SWE,Sweden,2008,81.5005455229849
SWE,Sweden,2009,81.5591567453583
SWE,Sweden,2010,85.0871813682728
SWE,Sweden,2011,83.8058664114587
SWE,Sweden,2012,81.5868898242935
SWE,Sweden,2013,84.4559064571314
SWE,Sweden,2014,90.4839940336303
SWE,Sweden,2015,100
SWE,Sweden,2016,105.094824856365
SWE,Sweden,2017,109.286999738926
SWE,Sweden,2018,105.035276608594
SWE,Sweden,2019,104.136785809121
SWE,Sweden,2020,108.955616764107
SWE,Sweden,2021,113.141291039607
SWE,Sweden,2022,109.069889932984
SWE,Sweden,2023,98.7611344346539
SWE,Sweden,2024,94.4241159656076
USA,United States,2000,106.311519117791
USA,United States,2001,109.32772192977
USA,United States,2002,112.589744699335
USA,United States,2003,116.627958282082
USA,United States,2004,121.78541066097
USA,United States,2005,130.804365863298
USA,United States,2006,131.346124930792
USA,United States,2007,126.437520053483
USA,United States,2008,111.689089241532
USA,United States,2009,105.74362243379
USA,United States,2010,99.5834941554578
USA,United States,2011,91.4597056679922
USA,United States,2012,90.3273374572
USA,United States,2013,97.4258134384013
USA,United States,2014,98.1603505209493
USA,United States,2015,100
USA,United States,2016,103.326581616069
USA,United States,2017,105.237183238815
USA,United States,2018,106.274687728632
USA,United States,2019,107.237195813271
USA,United States,2020,107.414786835061
USA,United States,2021,115.873264472854
USA,United States,2022,131.630538188847
USA,United States,2023,127.185073336715
USA,United States,2024,128.118252262554
