code,iso_numeric,country
HND,340,Honduras
HUN,348,Hungary
ISL,352,Iceland
IND,356,India
IDN,360,Indonesia
IRN,364,Iran (Islamic Republic of)
IRQ,368,Iraq
IRL,372,Ireland
IMN,833,Isle of Man
ISR,376,Israel
ITA,380,Italy
CIV,384,Ivory Coast
JAM,388,Jamaica
JPN,392,Japan
JEY,832,Jersey
JOR,400,Jordan
KAZ,398,Kazakhstan
KEN,404,Kenya
KIR,296,Kiribati
KWT,414,Kuwait
KGZ,417,Kyrgyzstan
LAO,418,Lao People's Democratic Republic
LVA,428,Latvia
LBN,422,Lebanon
LSO,426,Lesotho
LBR,430,Liberia
LBY,434,Libya
LIE,438,Liechtenstein
LTU,440,Lithuania
LUX,442,Luxembourg
MDG,450,Madagascar
MWI,454,Malawi
MYS,458,Malaysia
MDV,462,Maldives
MLI,466,Mali
MLT,470,Malta
MHL,584,Marshall Islands
MTQ,474,Martinique
MRT,478,Mauritania
MUS,480,Mauritius
MYT,175,Mayotte
MEX,484,Mexico
FSM,583,Micronesia (Federated States of)
MCO,492,Monaco
MNG,496,Mongolia
MNE,499,Montenegro
MSR,500,Montserrat
MAR,504,Morocco
MOZ,508,Mozambique
MMR,104,Myanmar
NAM,516,Namibia
NRU,520,Nauru
NPL,524,Nepal
NLD,528,Netherlands
NCL,540,New Caledonia
NZL,554,New Zealand
NIC,558,Nicaragua
NER,562,Niger
NGA,566,Nigeria
NIU,570,Niue
NFK,574,Norfolk Island
MNP,580,Northern Mariana Islands
MKD,807,North Macedonia
NOR,578,Norway
OMN,512,Oman
PAK,586,Pakistan
PLW,585,Palau
PAN,591,Panama
PNG,598,Papua New Guinea
PRY,600,Paraguay
PER,604,Peru
PHL,608,Philippines
PCN,612,Pitcairn
POL,616,Poland
PRT,620,Portugal
PRI,630,Puerto Rico
QAT,634,Qatar
KOR,410,Republic of Korea
MDA,498,Republic of Moldova
REU,638,Réunion
ROU,642,Romania
RUS,643,Russian Federation
RWA,646,Rwanda
BLM,652,Saint Barthélemy
SHN,654,Saint Helena
KNA,659,Saint Kitts and Nevis
LCA,662,Saint Lucia
MAF,663,Saint Martin (French Part)
SPM,666,Saint Pierre and Miquelon
VCT,670,Saint Vincent and the Grenadines
WSM,882,Samoa
SMR,674,San Marino
STP,678,Sao Tome and Principe
SAU,682,Saudi Arabia
SEN,686,Senegal
SRB,688,Serbia
SYC,690,Seychelles
SLE,694,Sierra Leone
SGP,702,Singapore
SXM,534,Sint Maarten (Dutch part)
SVK,703,Slovakia
SVN,705,Slovenia
SLB,090,Solomon Islands
SOM,706,Somalia
ZAF,710,South Africa
SGS,239,South Georgia and the South Sandwich Islands
SSD,728,South Sudan
ESP,724,Spain
LKA,144,Sri Lanka
PSE,275,State of Palestine
SDN,729,Sudan
SUR,740,Suriname
SJM,744,Svalbard and Jan Mayen Islands
SWE,752,Sweden
CHE,756,Switzerland
SYR,760,Syrian Arab Republic
TWN,158,Taiwan
TJK,762,Tajikistan
THA,764,Thailand
TLS,626,Timor-Leste
TGO,768,Togo
TKL,772,Tokelau
TON,776,Tonga
TTO,780,Trinidad and Tobago
TUN,788,Tunisia
TUR,792,Türkiye
TKM,795,Turkmenistan
TCA,796,Turks and Caicos Islands
TUV,798,Tuvalu
UGA,800,Uganda
UKR,804,Ukraine
ARE,784,United Arab Emirates
GBR,826,United Kingdom of Great Britain and Northern Ireland
TZA,834,United Republic of Tanzania
UMI,581,United States Minor Outlying Islands
USA,840,United States of America
VIR,850,United States Virgin Islands
URY,858,Uruguay
UZB,860,Uzbekistan
VUT,548,Vanuatu
VEN,862,Venezuela (Bolivarian Republic of)
VNM,704,Viet Nam
WLF,876,Wallis and Futuna Islands
ESH,732,Western Sahara
YEM,887,Yemen
ZMB,894,Zambia
ZWE,716,Zimbabwe
